,Nr,Grunnkretsnavn,2022,2023,2024
278,4505.0,Jonsvatnet 5,232,235,232
279,4506.0,Jonsvatnet 6,117,124,124
280,4507.0,Jonsvatnet 7,142,138,137
281,4508.0,Jonsvatnet 8,8,6,7
282,4509.0,Jonsvatnet 9,118,118,108
283,4601.0,Bratsberg 1,86,86,89
284,4602.0,Bratsberg 2,27,30,31
285,4603.0,Bratsberg 3,603,586,611
286,4604.0,Bratsberg 4,0,0,0
287,4605.0,Bratsberg 5,15,15,13
288,4606.0,Bratsberg 6,9,9,9
289,4607.0,Bratsberg 7,38,32,29
290,5101.0,Dorthealyst,57,58,58
291,5102.0,Sommerlyst,228,227,231
292,5103.0,Stavne,602,636,627
293,5104.0,Breidablikk,266,267,270
294,5105.0,Havstein,737,735,742
295,5106.0,Havstad,754,775,869
296,5107.0,Dalhaug,682,686,690
297,5108.0,Havsteinaunet,1002,1011,985
298,5109.0,Wærås,619,605,610
299,5110.0,Åsveien,538,555,592
300,5111.0,Bygrensen,32,29,27
301,5112.0,Gamle Åsvei,202,198,204
302,5113.0,Utsikten,598,625,632
303,5114.0,Sverresborg skole,950,949,947
304,5116.0,Torshaug,833,842,839
305,5117.0,Sverresborg,1,2,4
306,5118.0,Hammersborg,426,434,423
307,5119.0,Bymarka,1,1,0
308,5120.0,Sverresborg 20,592,573,566
309,5121.0,Sverresborg 21,666,641,643
310,5201.0,Vådan,5,6,6
311,5202.0,Lian,463,476,477
312,5203.0,Ferstadmarka,1424,1458,1446
313,5209.0,Grova,602,610,632
314,5210.0,Dalgård,583,602,620
315,5211.0,Ugla,950,953,967
316,5212.0,Storhaugen,875,886,867
317,5213.0,Kleiva,380,379,397
318,5214.0,Ferstad,366,367,371
319,5215.0,Ferstad nedre,409,401,397
320,5216.0,Vognhallvegen,217,216,213
321,5217.0,Selsbakk nordre,199,203,205
322,5218.0,Munkvold,924,940,931
323,5219.0,Hoem nordre,895,881,891
324,5220.0,Munkvollaunet,851,876,908
325,5221.0,Hoem søndre,764,756,789
326,5222.0,Rognheim,257,285,298
327,5223.0,Engstua,172,189,180
328,5224.0,Byåsen 24,722,738,740
329,5225.0,Byåsen 25,1000,1023,1069
330,5226.0,Byåsen 26,925,907,909
331,5227.0,Byåsen 27,398,406,394
332,5228.0,Byåsen 28,334,333,337
333,5229.0,Byåsen 29,768,769,775
334,5230.0,Byåsen 30,248,245,239
335,5231.0,Byåsen 31,301,301,295
336,5232.0,Byåsen 32,103,103,100
337,5233.0,Byåsen 33,179,172,172
338,5234.0,Byåsen 34,246,234,232
339,5235.0,Byåsen 35,646,679,662
340,5236.0,Byåsen 36,276,283,266
341,5237.0,Byåsen 37,463,442,442
342,5238.0,Byåsen 38,249,254,252
343,5239.0,Byåsen 39,649,645,684
344,5301.0,Halsetvangen,487,478,502
345,5302.0,Halset søndre,1334,1320,1318
346,5303.0,Selsbakk,729,723,719
347,5304.0,Prøven,19,25,23
348,5305.0,Selsbakklia,65,66,68
349,5306.0,Halset nordre,1161,1135,1144
350,5307.0,Halsetvangen nordre,621,623,623
351,5308.0,Lundli,198,196,194
352,5309.0,Østtun,53,47,38
353,6201.0,Sjetne-Okstad 1,1272,1262,1255
354,6202.0,Sjetne-Okstad 2,6,6,140
355,6203.0,Sjetne-Okstad 3,1027,1019,1035
356,6204.0,Sjetne-Okstad 4,884,898,915
357,6205.0,Sjetne-Okstad 5,27,18,19
358,6206.0,Sjetne-Okstad 6,450,455,468
359,6207.0,Sjetne-Okstad 7,294,289,287
360,6208.0,Sjetne-Okstad 8,0,0,0
361,6209.0,Sjetne-Okstad 9,762,763,767
362,6210.0,Sjetne-Okstad 10,287,298,297
363,7201.0,Flatåsen-Saupstad 1,436,433,431
364,7202.0,Flatåsen-Saupstad 2,1804,1784,1779
365,7203.0,Flatåsen-Saupstad 3,1145,1142,1162
366,7204.0,Flatåsen-Saupstad 4,765,761,790
367,7205.0,Flatåsen-Saupstad 5,147,161,160
368,7206.0,Flatåsen-Saupstad 6,936,927,916
369,7207.0,Flatåsen-Saupstad 7,719,726,700
370,7208.0,Flatåsen-Saupstad 8,1674,1665,1673
371,7209.0,Flatåsen-Saupstad 9,376,355,351
372,7210.0,Flatåsen-Saupstad 10,1306,1311,1290
373,7211.0,Flatåsen-Saupstad 11,984,988,1004
374,7212.0,Flatåsen-Saupstad 12,1206,1234,1220
375,7213.0,Flatåsen-Saupstad 13,218,215,221
376,7214.0,Flatåsen-Saupstad 14,703,706,701
377,7215.0,Flatåsen-Saupstad 15,639,656,662
378,7216.0,Flatåsen-Saupstad 16,401,394,382
379,7217.0,Flatåsen-Saupstad 17,69,62,58
380,7218.0,Flatåsen-Saupstad 18,463,461,450
381,7401.0,Rosten,238,350,349
382,7406.0,Løvås,3,2,5
383,7407.0,Tiller,109,108,106
384,7408.0,Torgård,473,474,464
385,7409.0,Tiller-Hårstad 9,0,0,0
386,7410.0,Tiller-Hårstad 10,657,677,686
387,7411.0,Tiller-Hårstad 11,961,968,980
388,7412.0,Tiller-Hårstad 12,884,884,862
389,7413.0,Tiller-Hårstad 13,1035,1028,1019
390,7414.0,Tiller-Hårstad 14,0,0,0
391,7415.0,Tiller-Hårstad 15,57,57,55
392,7416.0,Tiller-Hårstad 16,739,743,711
393,7417.0,Tiller-Hårstad 17,324,313,310
394,7418.0,Tiller-Hårstad 18,0,0,0
395,7419.0,Tiller-Hårstad 19,772,750,741
396,7420.0,Tiller-Hårstad 20,1177,1178,1175
397,7421.0,Tiller-Hårstad 21,1024,1034,1047
398,7422.0,Tiller-Hårstad 22,578,624,646
399,7423.0,Tiller-Hårstad 23,535,639,764
400,7424.0,Tiller-Hårstad 24,296,309,309
401,7501.0,Heimdal 1,897,876,873
402,7502.0,Heimdal 2,1106,1073,1092
403,7503.0,Heimdal 3,512,505,508
404,7504.0,Heimdal 4,520,516,526
405,7505.0,Heimdal 5,891,902,903
406,7506.0,Heimdal 6,25,26,22
407,7507.0,Heimdal 7,1096,1087,1102
408,7508.0,Heimdal 8,779,790,773
409,7509.0,Heimdal 9,542,563,574
410,7510.0,Heimdal 10,136,132,132
411,7511.0,Heimdal 11,1253,1258,1245
412,7512.0,Heimdal 12,618,574,593
413,7513.0,Heimdal 13,1361,1513,1583
414,7514.0,Heimdal 14,553,566,571
415,7515.0,Heimdal 15,707,694,690
416,7516.0,Heimdal 16,558,569,569
417,7517.0,Heimdal 17,441,432,423
418,7518.0,Heimdal 18,535,535,531
419,7519.0,Heimdal 19,677,681,694
420,7520.0,Heimdal 20,579,586,633
421,7521.0,Heimdal 21,85,87,90
422,7522.0,Heimdal 22,421,454,863
423,7523.0,Heimdal 23,819,839,779
424,7524.0,Heimdal 24,706,697,709
425,7525.0,Heimdal 25,62,72,75
426,7526.0,Heimdal 26,223,216,203
427,8104.0,Hangervåttan,307,298,320
428,8106.0,Spongdal,842,840,797
429,8109.0,Skjetlein,234,235,234
430,8110.0,Klett,854,886,872
431,8111.0,Sørnypan,69,71,71
432,8112.0,Byneset-Leinstrand 12,498,506,508
433,8113.0,Byneset-Leinstrand 13,15,15,15
434,8114.0,Byneset-Leinstrand 14,0,0,0
435,8115.0,Byneset-Leinstrand 15,813,821,824
436,8116.0,Byneset-Leinstrand 16,431,444,435
437,8117.0,Byneset-Leinstrand 17,8,8,12
438,8118.0,Byneset-Leinstrand 18,78,76,73
439,8119.0,Byneset-Leinstrand 19,64,59,55
440,8120.0,Byneset-Leinstrand 20,61,58,64
441,8121.0,Byneset-Leinstrand 21,54,45,45
442,8122.0,Byneset-Leinstrand 22,63,62,65
443,8123.0,Byneset-Leinstrand 23,593,602,608
444,,Trondheim i alt,210496,212660,214565
